Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,30-Dec-20
2,Agra,Achnera,Potato,Desi,FAQ,800,900,850,29-Dec-20
3,Agra,Achnera,Potato,Desi,FAQ,850,950,900,28-Dec-20
4,Agra,Achnera,Potato,Desi,FAQ,800,900,850,27-Dec-20
5,Agra,Achnera,Potato,Desi,FAQ,800,900,850,26-Dec-20
6,Agra,Achnera,Potato,Desi,FAQ,800,900,850,25-Dec-20
7,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,23-Dec-20
8,Agra,Achnera,Potato,Desi,FAQ,820,920,870,22-Dec-20
9,Agra,Achnera,Potato,Desi,FAQ,800,900,850,21-Dec-20
10,Agra,Achnera,Potato,Desi,FAQ,800,900,850,20-Dec-20
11,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,19-Dec-20
12,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,18-Dec-20
13,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,16-Dec-20
14,Agra,Achnera,Potato,Desi,FAQ,1400,1500,1450,15-Dec-20
15,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,14-Dec-20
16,Agra,Achnera,Potato,Desi,FAQ,1700,1800,1750,13-Dec-20
17,Agra,Achnera,Potato,Desi,FAQ,1650,1750,1700,12-Dec-20
18,Agra,Achnera,Potato,Desi,FAQ,2000,2100,2050,11-Dec-20
19,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,9-Dec-20
20,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,8-Dec-20
21,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,7-Dec-20
22,Agra,Achnera,Potato,Desi,FAQ,2650,2750,2700,6-Dec-20
23,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,5-Dec-20
24,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,4-Dec-20
25,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,2-Dec-20
26,Agra,Achnera,Potato,Desi,FAQ,2840,2940,2890,1-Dec-20
27,Agra,Achnera,Potato,Desi,FAQ,2830,2930,2880,30-Nov-20
28,Agra,Achnera,Potato,Desi,FAQ,3750,3850,3800,29-Nov-20
29,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,28-Nov-20
30,Agra,Achnera,Potato,Desi,FAQ,2830,2910,2870,27-Nov-20
31,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,25-Nov-20
32,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,24-Nov-20
33,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,23-Nov-20
34,Agra,Achnera,Potato,Desi,FAQ,2820,2900,2860,22-Nov-20
35,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,21-Nov-20
36,Agra,Achnera,Potato,Desi,FAQ,2850,2950,2900,20-Nov-20
37,Agra,Achnera,Potato,Desi,FAQ,2840,2920,2880,18-Nov-20
38,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,17-Nov-20
39,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,16-Nov-20
40,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,15-Nov-20
41,Agra,Achnera,Potato,Desi,FAQ,2800,2860,2830,14-Nov-20
42,Agra,Achnera,Potato,Desi,FAQ,2800,2880,2840,13-Nov-20
43,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,11-Nov-20
44,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,10-Nov-20
45,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,9-Nov-20
46,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,8-Nov-20
47,Agra,Achnera,Potato,Desi,FAQ,2780,2860,2820,7-Nov-20
48,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,6-Nov-20
49,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,4-Nov-20
50,Agra,Achnera,Potato,Desi,FAQ,2750,2850,2800,3-Nov-20
51,Agra,Achnera,Potato,Desi,FAQ,2640,2720,2680,2-Nov-20
52,Agra,Achnera,Potato,Desi,FAQ,2740,2820,2780,1-Nov-20
53,Agra,Achnera,Potato,Desi,FAQ,2600,2700,2650,31-Oct-20
54,Agra,Achnera,Potato,Desi,FAQ,2600,2680,2640,30-Oct-20
55,Agra,Achnera,Potato,Desi,FAQ,2600,2700,2650,28-Oct-20
56,Agra,Achnera,Potato,Desi,FAQ,2700,2780,2740,27-Oct-20
57,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,26-Oct-20
58,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,25-Oct-20
59,Agra,Achnera,Potato,Desi,FAQ,2550,2650,2600,24-Oct-20
60,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,23-Oct-20
61,Agra,Achnera,Potato,Desi,FAQ,2500,2600,2550,21-Oct-20
62,Agra,Achnera,Potato,Desi,FAQ,2500,2600,2550,20-Oct-20
63,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,19-Oct-20
64,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,18-Oct-20
65,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,17-Oct-20
66,Agra,Achnera,Potato,Desi,FAQ,2450,2550,2500,16-Oct-20
67,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,14-Oct-20
68,Agra,Achnera,Potato,Desi,FAQ,2500,2560,2530,13-Oct-20
69,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,12-Oct-20
70,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,11-Oct-20
71,Agra,Achnera,Potato,Desi,FAQ,2500,2560,2530,10-Oct-20
72,Agra,Achnera,Potato,Desi,FAQ,2470,2530,2500,7-Oct-20
73,Agra,Achnera,Potato,Desi,FAQ,2480,2560,2520,6-Oct-20
74,Agra,Achnera,Potato,Desi,FAQ,2500,2580,2540,5-Oct-20
75,Agra,Achnera,Potato,Desi,FAQ,2460,2540,2500,4-Oct-20
76,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,3-Oct-20
77,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,2-Oct-20
78,Agra,Achnera,Potato,Desi,FAQ,2420,2500,2460,30-Sep-20
79,Agra,Achnera,Potato,Desi,FAQ,2400,2500,2450,29-Sep-20
80,Agra,Achnera,Potato,Desi,FAQ,2400,2480,2440,28-Sep-20
81,Agra,Achnera,Potato,Desi,FAQ,2380,2460,2420,27-Sep-20
82,Agra,Achnera,Potato,Desi,FAQ,2300,2400,2350,26-Sep-20
83,Agra,Achnera,Potato,Desi,FAQ,2350,2450,2400,25-Sep-20
84,Agra,Achnera,Potato,Desi,FAQ,2270,2350,2310,23-Sep-20
85,Agra,Achnera,Potato,Desi,FAQ,2280,2360,2320,22-Sep-20
86,Agra,Achnera,Potato,Desi,FAQ,2250,2350,2300,21-Sep-20
87,Agra,Achnera,Potato,Desi,FAQ,2200,2300,2250,20-Sep-20
88,Agra,Achnera,Potato,Desi,FAQ,2240,2340,2290,19-Sep-20
89,Agra,Achnera,Potato,Desi,FAQ,2200,2350,2250,18-Sep-20
90,Agra,Achnera,Potato,Desi,FAQ,2200,2300,2250,16-Sep-20
